日付,支払,クラス,出発,到着,確度
2026-02-03,会社,7,HND,ISG,100
2026-02-03,会社,7,ISG,OKA,100
2026-02-04,会社,7,OKA,HND,100
2026-02-28,会社,3,HND,OKA,100
2026-03-05,会社,3,OKA,HND,100
2026-03-24,会社,5,HND,ISG,100
2026-03-25,会社,5,ISG,OKA,100
2026-03-26,会社,3,OKA,HND,100
2026-06-17,会社,H,HND,OKA,100
2026-06-18,会社,H,OKA,HND,100
2026-07-09,会社,H,HND,CTS,100
2026-07-10,会社,H,CTS,HND,100
2026-07-23,会社,H,HND,OKA,80
2026-07-26,会社,H,OKA,HND,80
2026-07-29,会社,H,HND,CTS,80
2026-07-30,会社,H,CTS,HND,80
2026-08-10,会社,H,HND,CTS,60
2026-08-11,会社,H,CTS,HND,60
2026-08-06,会社,H,HND,CTS,80
2026-08-07,会社,H,CTS,HND,80
2026-10-15,会社,H,HND,OKA,80
2026-10-16,会社,H,OKA,HND,80
2026-11-01,会社,H,HND,CTS,80
2026-11-02,会社,H,CTS,HND,80
2026-11-01,会社,H,HND,CTS,80
2026-11-02,会社,H,CTS,HND,80
2026-12-31,会社,H,HND,YGJ,60
2026-12-31,会社,H,YGJ,HND,60
2026-09-07,会社,H,HND,ISG,80
2026-09-08,会社,H,ISG,OKA,80
2026-09-08,会社,H,OKA,HND,80
2026-01-18,個人,7,HND,OKA,100
2026-01-18,個人,7,OKA,HND,100
2026-07-24,個人,H,HND,OKA,100
2026-07-25,個人,H,OKA,HND,100
2026-08-26,個人,H,HND,OKA,100
2026-08-27,個人,H,OKA,HND,100
